Tissue;Storage;DNA_Concentration
Fin;Alcohol;11.4
Fin;Alcohol;83.6
Fin;Alcohol;102.3
Fin;Alcohol;39.7
Fin;Alcohol;32.5
Muscle;Alcohol;16.8
Muscle;Alcohol;171.3
Muscle;Alcohol;3.7
Muscle;Alcohol;60.8
Muscle;Alcohol;38.9
Tongue;Alcohol;69.7
Tongue;Alcohol;192.7
Tongue;Alcohol;86
Tongue;Alcohol;314.6
Tongue;Alcohol;214.4
Fin;Frozen;1.3
Fin;Frozen;77.6
Fin;Frozen;46.6
Fin;Frozen;9.2
Fin;Frozen;371.9
Muscle;Frozen;16.9
Muscle;Frozen;46.9
Muscle;Frozen;2.6
Muscle;Frozen;71.1
Muscle;Frozen;137.9
Tongue;Frozen;17.5
Tongue;Frozen;4.4
Tongue;Frozen;141.5
Tongue;Frozen;146.1
Tongue;Frozen;22.3
